Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
CIVILTECH ENGINEERING INC|105462086T,"$35,000,000",,,,,,,,,,,,,
CHICAGO CHILD CARE SOCIETY|83859242L,"$34,607,679",,,,,,,,,,,,,
BUILDERS CHICAGO CORPORATION|98997129E,"$34,551,894",,,,,,,,,,,,,
CAPITOL CEMENT CO INC|15244443L,"$33,909,786",,,,,,,,,,,,,
PHALANX FAMILY SERVICES|85554962P,"$32,359,940",,,,,,,,,,,,,
COMMUNITY INVESTMENT CORP|31353200P,"$32,000,000",,,,,,,,,,,,,
ADVANCED DATA PROCESSING INC|102566759V,"$31,830,736",,,,,,,,,,,,,
"GIVEDIRECTLY, INC|10590211","$31,390,749",,,,,,,,,,,,,
AXON ENTERPRISE INC|105460197T,"$31,055,345",,,,,,,,,,,,,
"CHICAGO CONVENTION & TOURISM BUREAU, INC.|14253061H","$30,965,000",,,,,,,,,,,,,
"NTT DATA, INC|93980769X","$30,510,347",,,,,,,,,,,,,
VERIZON WIRELESS|102550495P,"$30,500,000",,,,,,,,,,,,,
"CITY LIGHTS, LIMITED/ZSL ELECTRIC|14937902L","$30,449,800",,,,,,,,,,,,,
GLOBETROTTERS ENG. CORP.|33672803L,"$30,381,650",,,,,,,,,,,,,
CRYOTECH DEICING TECHNOLOGY|31295465M,"$30,016,000",,,,,,,,,,,,,
"SOLAI & CAMERON, INC.|12589700Z","$30,000,000",,,,,,,,,,,,,
CONSTRUCTION INC|105506118Z,"$30,000,000",,,,,,,,,,,,,
CBRE INC.|102578767H,"$29,790,870",,,,,,,,,,,,,
PRODUCTION DISTRIBUTION COMPANIES|93360965M,"$29,385,116",,,,,,,,,,,,,
GARDAWORLD FEDERAL SERVICES LLC|105498107V,"$29,366,298",,,,,,,,,,,,,
"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS|102485421X","$29,300,814",,,,,,,,,,,,,
"A & M GENERAL CONTRACTOR, INC.|105469250A","$29,255,719",,,,,,,,,,,,,
NETWORK ADVOCATING AGAINST DOMESTIC VIOLENCE|105462897V,"$29,096,100",,,,,,,,,,,,,
"ALLAN INTEGRATED CONTROL SYSTEMS, INC.|62843475M","$28,960,469",,,,,,,,,,,,,
"SGA YOUTH & FAMILY SERVICES, NFP|63437745V","$28,349,984",,,,,,,,,,,,,
"ABM INDUSTRY GROUPS, LLC|105459534H","$27,545,325",,,,,,,,,,,,,
"AUSTIN UNITED ALLIANCE, LP|10620430","$27,350,000",,,,,,,,,,,,,
MORENO ARCHITECTS LIMITED DBA JGMA|105457397E,"$26,850,000",,,,,,,,,,,,,
"AMERESCO, INC.|94347928E","$26,676,790",,,,,,,,,,,,,
HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.|102636875V,"$26,570,802",,,,,,,,,,,,,
"AT&T ENTERPRISES, LLC|105507596Z","$26,538,373",,,,,,,,,,,,,
BLINDERMAN CONSTRUCTION COMPANY INC|105473617H,"$26,311,203",,,,,,,,,,,,,
TELLIGEN HEALTHCARE INTELLIGENCE|105466679E,"$26,100,000",,,,,,,,,,,,,
SOLOMON CORDWELL BUENZ & ASSOCIATES|10690920P,"$25,700,000",,,,,,,,,,,,,
MOTOROLA SOLUTIONS INC|102500169P,"$25,628,555",,,,,,,,,,,,,
G & V CONSTRUCTION CO INC|22349496P,"$25,044,885",,,,,,,,,,,,,
STANLEY CONSULTANTS INC|93332319E,"$25,030,500",,,,,,,,,,,,,
MICHELS CORPORATION|105461092H,"$25,013,469",,,,,,,,,,,,,
WSP USA INC.|95497091Z,"$25,000,000",,,,,,,,,,,,,
VERIZON WIRELESS|93952579E,"$25,000,000",,,,,,,,,,,,,
"GALVAN & ASSOCIATES, LLC|85249356A","$25,000,000",,,,,,,,,,,,,
ESI CONSULTANTS LIMITED|CLEANED-UP|93406575H,"$25,000,000",,,,,,,,,,,,,
APEX CONSULTING ENGINEERS LLC|104760222L,"$25,000,000",,,,,,,,,,,,,
BRIGHT STAR COMMUNITY DEVELOPMENT CORPORATION NFP|105502598E,"$24,934,000",,,,,,,,,,,,,
SPIRIT AIRLINES|93601989T,"$24,854,035",,,,,,,,,,,,,
AUBURN GRESHAM APARTMENTS LP|10605291,"$24,725,000",,,,,,,,,,,,,
"OUR REVIVAL CHICAGO, LLC|10588077","$24,692,000",,,,,,,,,,,,,
MILLENNIUM CONTRACTING CORPORATION|105466013V,"$24,381,343",,,,,,,,,,,,,
"NEIGHBORHOOD HOUSING SERVICES CHICAGO, INC.|94057857Z","$24,288,962",,,,,,,,,,,,,
SUNBELT STAFFING LLC|102646285M,"$24,000,000",,,,,,,,,,,,,
"STL ARCHITECTS, INC.|35594501H","$24,000,000",,,,,,,,,,,,,
GSG MATERIAL TESTING INC|93278242E,"$24,000,000",,,,,,,,,,,,,
GARZA KARHOFF ENGINEERING LLC|95032126L,"$24,000,000",,,,,,,,,,,,,
AECOM SERVICES OF ILLINOIS INC|96670695H,"$24,000,000",,,,,,,,,,,,,
JOHNSON PIPE & SUPPLY COMPANY INC|15975702V,"$23,652,739",,,,,,,,,,,,,
UNITED AIRLINES INC|69226487T,"$23,526,596",,,,,,,,,,,,,
BOARD OF TRUSTEES OF THE UNIVERSITY. OF ILLINOIS|102485369L,"$23,349,115",,,,,,,,,,,,,
MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC|103441655Z,"$23,271,053",,,,,,,,,,,,,
JOSEPH J. HENDERSON & SON INC.|102458796L,"$23,203,501",,,,,,,,,,,,,
PAGE SECURITY INC|105509916E,"$23,138,501",,,,,,,,,,,,,
AIR ONE EQUIPMENT INC|31316936Z,"$22,916,787",,,,,,,,,,,,,
BELL HELICOPTER-TEXTRON|31287243M,"$22,868,285",,,,,,,,,,,,,
USALCO LLC|105506478M,"$22,758,600",,,,,,,,,,,,,
ALLISON'S INFANT & TODDLER CENTER INC|62751817Z,"$22,305,193",,,,,,,,,,,,,
"NEW CITY REDEVELOPMENT, LP|10625253","$22,255,000",,,,,,,,,,,,,
PARSONS BRINCKERHOFF INC|95497091Z,"$22,200,000",,,,,,,,,,,,,
ROOT BROTHERS.MANUFACTURING & SUPPLY CO.|3620558A,"$22,119,769",,,,,,,,,,,,,
ERIE NEIGHBORHOOD HOUSE|9137861Z,"$22,106,330",,,,,,,,,,,,,
MARQUEE EVENT GROUP INC|102522747E,"$22,032,608",,,,,,,,,,,,,
MB REAL ESTATE SERVICES INC|95135577H,"$22,024,175",,,,,,,,,,,,,
"SINGH & ASSOCIATES, INC.|105472154A","$22,000,000",,,,,,,,,,,,,
CHICAGO COMMUNITY LOAN FUND|31351638A,"$21,670,000",,,,,,,,,,,,,
MONTROSE & CLARENDON LLC|105465976Z,"$21,600,000",,,,,,,,,,,,,
"GRAYBAR ELECTRIC COMPANY, INC|5524690Z","$20,829,655",,,,,,,,,,,,,
LOYOLA UNIVERSITY CHICAGO|85243453A,"$20,400,000",,,,,,,,,,,,,
SHOTSPOTTER INC|102512086A,"$20,117,770",,,,,,,,,,,,,
"DATA DEFENDERS, LLC|10566166","$20,000,000",,,,,,,,,,,,,
C40 PRESERVATION ASSOCIATES LP|10616752,"$19,500,000",,,,,,,,,,,,,
GREELEY & HANSEN|105461514L,"$19,300,000",,,,,,,,,,,,,
"NTT DATA AMERICAS, INC|105511019A","$19,092,687",,,,,,,,,,,,,
COLD CHAIN TECHNOLOGY SERVICES LLC|CLEANED-UP|93544379L,"$18,656,978",,,,,,,,,,,,,
MOLLOY CONSULTING INC.|92457285T,"$18,630,000",,,,,,,,,,,,,
CPS HR CONSULTING|94174800H,"$18,458,000",,,,,,,,,,,,,
INTELLIGENT SYSTEMS SERVICES|93332287H,"$18,071,737",,,,,,,,,,,,,
SET ENVIRONMENTAL INC|86948683E,"$18,020,437",,,,,,,,,,,,,
UNIVERSITY OF CHICAGO 03|102573261E,"$17,550,930",,,,,,,,,,,,,
ASSET LLC|92421301A,"$17,441,468",,,,,,,,,,,,,
USCC SERVICES LLC DBA USCELLULAR|10617632,"$17,398,675",,,,,,,,,,,,,
BROADWAY ELECTRIC INC|90404228Z,"$17,342,941",,,,,,,,,,,,,
"RS AFFORDABLE I, LLC.|10623492","$17,000,000",,,,,,,,,,,,,
CARE PLUS LLC|CLEANED-UP|93508584M,"$16,940,000",,,,,,,,,,,,,
GREATER ILLINOIS TITLE COMPANY|10758233Z,"$16,857,263",,,,,,,,,,,,,
LIFEWORKS (US) LIMITED|105473572X,"$16,715,150",,,,,,,,,,,,,
WHEATLAND TITLE GUARANTY CO.|89964027V,"$16,500,000",,,,,,,,,,,,,
43RD AND PRAIRIE PHASE II LP|10616930,"$16,500,000",,,,,,,,,,,,,
DELOITTE & TOUCHE LLP|95423298Z,"$16,497,913",,,,,,,,,,,,,
CORNERSTONE COMMUNITY OUTREACH|11986037E,"$16,495,493",,,,,,,,,,,,,
FEDERAL AVIATION ADMINISTRATION|1004390,"$16,423,472",,,,,,,,,,,,,
GENSLER ARCHITECTURE P C|86800997Z,"$16,389,681",,,,,,,,,,,,,
PENCCO|74478374H,"$16,260,000",,,,,,,,,,,,,
4715 N WESTERN OWNER LLC|10616167,"$16,109,854",,,,,,,,,,,,,
CONDUENT STATE & LOCAL SOLUTIONS INC|105468795T,"$16,000,000",,,,,,,,,,,,,
GRANITE CONSTRUCTION COMPANY|105461011P,"$15,932,703",,,,,,,,,,,,,
GALLAGHER BASSETT|105456143L,"$15,634,408",,,,,,,,,,,,,
INLINER SOLUTIONS LLC|105509811P,"$15,524,407",,,,,,,,,,,,,
NORTHWESTERN UNIVERSITY SETTLEMENT ASSOCIATION|84007890X,"$15,301,345",,,,,,,,,,,,,
CHICAGO AIRLINES TERMINAL CONSORTIUM|102633015E,"$15,116,557",,,,,,,,,,,,,
WESTSIDE HEALTH AUTHORITY|22686520T,"$15,072,370",,,,,,,,,,,,,
YOUTH GUIDANCE|99253665A,"$15,012,172",,,,,,,,,,,,,
PARKWAY ELEVATORS INC.|23417975T,"$15,000,000",,,,,,,,,,,,,
HEART OF UPTOWN APARTMENTS LLC|105512194M,"$15,000,000",,,,,,,,,,,,,
"ABNA OF ILLINOIS, INC.|59759916A","$15,000,000",,,,,,,,,,,,,
RUSH UNIVERSITY MEDICAL CENTER|105470052L,"$14,960,274",,,,,,,,,,,,,
"CIORBA GROUP, INC|105476238Z","$14,900,000",,,,,,,,,,,,,
"HEARTLAND HUMAN CARE SERVICES, INC.|6316260Z","$14,868,129",,,,,,,,,,,,,
COURTESY ELECTRIC INC|94224524V,"$14,646,801",,,,,,,,,,,,,
GRAEF-USA INC|88798548V,"$14,500,000",,,,,,,,,,,,,
"CHRISTOPHER B. BURKE ENGINEERING, LIMITED|102636887E","$14,500,000",,,,,,,,,,,,,
ATLAS ENGINEERING GROUP LIMITED|95463727X,"$14,500,000",,,,,,,,,,,,,
ENCUENTRO SQUARE II LP|10615917,"$14,486,586",,,,,,,,,,,,,
MCDERMOTT CENTER|CLEANED-UP|87075014A,"$14,405,631",,,,,,,,,,,,,
THE CARA PROGRAM|99076525Z,"$14,309,040",,,,,,,,,,,,,
"AERO CHICAGO II, LLC|10597653","$14,221,140",,,,,,,,,,,,,
COHNREZNICK LLP|105467792E,"$14,199,504",,,,,,,,,,,,,
"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP|90455112P","$14,139,603",,,,,,,,,,,,,
LAKE COUNTY HEALTH DEPARTMENT|31331941Z,"$14,000,000",,,,,,,,,,,,,
SAFEWARE|103465902Z,"$13,900,000",,,,,,,,,,,,,
COMMUNITY EDUCATION NETWORK DBA IT TAKES A VILLAGE FAMILY OF SCHOOLS|54766027,"$13,839,261",,,,,,,,,,,,,
"ISLAND TERRACE 4% PRESERVATION ASSOCIATES, LP.|10625276","$13,775,000",,,,,,,,,,,,,
YELLOW BANANA LLC.|10598121,"$13,492,500",,,,,,,,,,,,,
"ACCLIVUS, INC|105465730L","$13,424,110",,,,,,,,,,,,,
BCR LLC AUTOMOTIVE GROUP|93516802X,"$13,421,430",,,,,,,,,,,,,
DAYSPRING PROFESSIONAL JANITOR|93775984P,"$13,355,323",,,,,,,,,,,,,
TRANE U.S. INC|98259235L,"$13,278,487",,,,,,,,,,,,,
"SARAH'S ON LAKESIDE,LLC|10611646","$13,179,172",,,,,,,,,,,,,
DAVIS VISION INC|31288192T,"$13,100,000",,,,,,,,,,,,,
BROADER.URBAN.INVESTMENT.L.D. INC|93734476Z,"$13,093,849",,,,,,,,,,,,,
COMMUNITY EDUCATION NETWORK DBA IT TAKES A VILLAGE FAMILY OF SCHOOLS|105487449V,"$13,084,031",,,,,,,,,,,,,
FOSTER EDENS LLC|105466875Z,"$13,000,000",,,,,,,,,,,,,
BRACKEN BOX INC|CLEANED-UP|93502096L,"$12,970,587",,,,,,,,,,,,,
FEDERAL SIGNAL CORPORATION|31301137X,"$12,862,117",,,,,,,,,,,,,
CBRE INC.|98997078H,"$12,848,308",,,,,,,,,,,,,
CITY WIDE DISPOSAL|105498408E,"$12,825,048",,,,,,,,,,,,,
PRIMO CENTER FOR WOMEN & CHILDREN|105460385M,"$12,753,294",,,,,,,,,,,,,
BOULEVARD APARTMENTS PRESERVATION LIMITED PARTNERSHIP|10620090,"$12,724,625",,,,,,,,,,,,,
JACOBS ENGINEERING GROUP INC|96606311H,"$12,509,131",,,,,,,,,,,,,
BACK OF THE YARDS NEIGHBORHOOD COUNCIL|102479506V,"$12,497,974",,,,,,,,,,,,,
BRIGHT STAR COMMUNITY DEVELOPMENT CORPORATION NFP|10616733,"$12,467,000",,,,,,,,,,,,,
ROSS BARNEY ARCHITECTS INC|85732219T,"$12,266,632",,,,,,,,,,,,,
"AARON BROTHERS MOVING SYSTEM, INC.|22391808A","$12,256,480",,,,,,,,,,,,,
"M10, INC DBA MICHELS TRENCHLESS, INC.|10598216","$12,094,033",,,,,,,,,,,,,
"PERATON, INC.|105477321L","$12,067,768",,,,,,,,,,,,,
TCB DEVELOPMENT SERVICES LLC|95562043X,"$12,000,000",,,,,,,,,,,,,
MARKSPEC-ROADSAFE-A.C. J.V. LLC|95057330P,"$12,000,000",,,,,,,,,,,,,
"LANDRUM & BROWN, INC|CLEANED-UP|45304123E","$12,000,000",,,,,,,,,,,,,
INFRASTRUCTURE ENGINEERING INC|102584443M,"$12,000,000",,,,,,,,,,,,,
"GHAFARI ASSOCIATES, LLC|38371957M","$12,000,000",,,,,,,,,,,,,
DELTA ENGINEERING GROUP LLC|93568965M,"$12,000,000",,,,,,,,,,,,,
ASCEND CHICAGO JV|10599839,"$12,000,000",,,,,,,,,,,,,
ASCEND CHICAGO JV|105492472V,"$12,000,000",,,,,,,,,,,,,
THE MONTESSORI NETWORK|94902784X,"$11,991,524",,,,,,,,,,,,,
A SAFE HAVEN FOUNDATION|93145610H,"$11,975,954",,,,,,,,,,,,,
"WHP-IID, LLC|10612848","$11,848,736",,,,,,,,,,,,,
CELADON CONSTRUCTION CORPORATION - NFP|10603662,"$11,700,000",,,,,,,,,,,,,
EL HOGAR DEL NINO INC|CLEANED-UP|38673803M,"$11,630,958",,,,,,,,,,,,,
"NORTH SIDE HOUSING & SUPPORTIVE SERVICES, INC.|93651840H","$11,524,159",,,,,,,,,,,,,
63RD MARYLAND LLC|10603182,"$11,500,000",,,,,,,,,,,,,
"D'ESCOTO, INC.|105477773Z","$11,322,872",,,,,,,,,,,,,
IMANI SENIOR VILLAGE PHASE I LLC|10619313,"$11,300,757",,,,,,,,,,,,,
"K-PLUS MECHANICAL, TBS|10617173","$11,084,720",,,,,,,,,,,,,
OLIVE BRANCH MISSION 01|CLEANED-UP|95162635Z,"$10,859,101",,,,,,,,,,,,,
SPEEDY GONZALEZ LANDSCAPING INC|93332275V,"$10,764,703",,,,,,,,,,,,,
UCAN (ULRICH CHILDRENS ADVANTAGE NETWORK)|93262454H,"$10,758,544",,,,,,,,,,,,,
CAROLE ROBERTSON CENTER FOR LEARNING|105459776M,"$10,753,561",,,,,,,,,,,,,
"LA CASA NORTE, INC|48367455P","$10,683,289",,,,,,,,,,,,,
C & C COMMUNICATIONS|31317779T,"$10,636,000",,,,,,,,,,,,,
M-B COMPANY INC|105455148T,"$10,572,412",,,,,,,,,,,,,
"ASPIRA, INC. OF ILLINOIS|40445015H","$10,569,468",,,,,,,,,,,,,
ILLINOIS HEALTH & HOSPITAL ASSOCIATION|102529691X,"$10,490,080",,,,,,,,,,,,,
"ASIAN HUMAN SERVICES, INC.|38544823A","$10,391,999",,,,,,,,,,,,,
AIRGAS USA LLC|105457980X,"$10,360,362",,,,,,,,,,,,,
"BRANCATO LANDSCAPING, INC. DBA BRANCATO SNOW & ICE MANAGEMENT|105503306E","$10,332,630",,,,,,,,,,,,,
RAE PRODUCTS & CHEMICALS CORP.|CLEANED-UP|92994694L,"$10,248,268",,,,,,,,,,,,,
SKYLINE MANAGEMENT GROUP O'HARE|94125891M,"$10,189,000",,,,,,,,,,,,,
EXECUTIVE CONSTRUCTION INC|54857972V,"$10,160,500",,,,,,,,,,,,,
THOMAS SCIENTIFIC|71641540X,"$10,004,575",,,,,,,,,,,,,
ZOLL MEDICAL CORP|31286790H,"$10,000,000",,,,,,,,,,,,,
"PATRICK ENGINEERING,INC.& PATRICK DRILLING,INC (OVERSIZE)|23175807X","$10,000,000",,,,,,,,,,,,,
PARSONS TRANSPORTATION GROUP|93568835Z,"$10,000,000",,,,,,,,,,,,,
"ORION ENGINEERS, LLC|10227147","$10,000,000",,,,,,,,,,,,,
MICHAELS COMMUNITY SERVICES CORPORATION DBA BETTER TOMORROWS|10614144,"$10,000,000",,,,,,,,,,,,,
"MICHAEL BAKER INTERNATIONAL, INC.|105458330M","$10,000,000",,,,,,,,,,,,,
"LIRO GIS, INC.|10566212","$10,000,000",,,,,,,,,,,,,
KIMLEY-HORN & ASSOCIATES INC|95571767L,"$10,000,000",,,,,,,,,,,,,
ILLINOIS HOUSING DEVELOPMENT AUTHORITY|9565093T,"$10,000,000",,,,,,,,,,,,,
"HORNER & SHIFRIN, INC.|10543359","$10,000,000",,,,,,,,,,,,,
HDR ENGINEERING INC|10030665,"$10,000,000",,,,,,,,,,,,,
"HBM ENGINEERING GROUP, LLC|31292589L","$10,000,000",,,,,,,,,,,,,
GREAT ARC TECHNOLOGIES|94038259X,"$10,000,000",,,,,,,,,,,,,
"GANNETT FLEMING, INC.|10699947A","$10,000,000",,,,,,,,,,,,,
"BOWMAN CONSULTING GROUP, LIMITED|94274654H","$10,000,000",,,,,,,,,,,,,
ALLIED DEVELOPMENT OF CHICAGO LLC|10605807,"$10,000,000",,,,,,,,,,,,,
BELT RAILWAY COMPANY. OF CHICAGO|14597655T,"$9,979,190",,,,,,,,,,,,,
"INDUSTRIAL FENCE, INC|8474848P","$9,932,102",,,,,,,,,,,,,
RIDDIFORD ROOFING CO.|102486180X,"$9,880,248",,,,,,,,,,,,,
"CHINESE AMERICAN SERVICE LEAGUE, INC.|30779553M","$9,812,019",,,,,,,,,,,,,
HOWARD BROWN HEALTH CENTER|15183609E,"$9,768,321",,,,,,,,,,,,,
CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO|102484615A,"$9,706,987",,,,,,,,,,,,,
LATIN.UNITED.COMMUNITY.HOUSING.A. SERVICES|3971023V,"$9,526,500",,,,,,,,,,,,,
CDM SMITH INC.|93786688A,"$9,445,790",,,,,,,,,,,,,
ELEVATE ENERGY|105474671A,"$9,440,000",,,,,,,,,,,,,
CONDY HOLDINGS LLC DBA CARUS LLC|105504616X,"$9,408,000",,,,,,,,,,,,,
LAWYERS COMMITTEE FOR BETTER HOUSING|94703156T,"$9,349,495",,,,,,,,,,,,,
"SKYTECH ENTERPRISES, LIMITED|CLEANED-UP|87834402H","$9,246,882",,,,,,,,,,,,,
MIDWEST OFFICE INTERIORS|105470995L,"$9,187,291",,,,,,,,,,,,,
S&J CONSTRUCTION CO INC & KAPO CONSTRUCTION INC JV|10596881,"$9,175,310",,,,,,,,,,,,,
GREATER AUBURN GRESHAM DEVELOPMENT CORPORATION|92086166P,"$9,153,390",,,,,,,,,,,,,
"GANNETT FLEMING ARCHITECTS, INC.|105509498M","$9,074,039",,,,,,,,,,,,,
SERENDIPITY CHILD CARE INC|77965915T,"$9,037,061",,,,,,,,,,,,,
J P SIMONS & COMPANY|15134241H,"$8,975,692",,,,,,,,,,,,,
"1237 N. CALIFORNIA 9PCT HHDC, LP|10628056","$8,706,353",,,,,,,,,,,,,
UNITED WAY OF METROPOLITAN CHICAGO|94371031A,"$8,675,000",,,,,,,,,,,,,
"STEINER SECURITY SERVICES, INC|102507685M","$8,658,607",,,,,,,,,,,,,
MICHAEL REESE RESEARCH & EDUCATION FOUNDATION|102534889V,"$8,647,366",,,,,,,,,,,,,
YOUTH ADVOCATE PROGRAM INC.|94198071L,"$8,621,471",,,,,,,,,,,,,
LAZ PARKING MIDWEST LLC|105473023M,"$8,609,863",,,,,,,,,,,,,
HENRY BOOTH HOUSE 01|CLEANED-UP|93427996Z,"$8,566,631",,,,,,,,,,,,,
THRESHOLDS|93347425L,"$8,545,088",,,,,,,,,,,,,
"FARRWEST ENVIRONMENTAL SUPPLY, INC.|10236747","$8,544,615",,,,,,,,,,,,,
ONWARD NEIGHBORHOOD HOUSE|99076561P,"$8,337,645",,,,,,,,,,,,,
"ADSYSTECH, INC|93826452A","$8,300,000",,,,,,,,,,,,,
CHILDREN'S HOME & AID SOCIETY OF ILLINOIS|93427732E,"$8,289,634",,,,,,,,,,,,,
TEDDY BEAR NURSERY SCHOOLS LLC|10602662,"$8,281,850",,,,,,,,,,,,,
CONNELLY ELECTRIC CO|10554563,"$8,264,490",,,,,,,,,,,,,
ALLIES FOR COMMUNITY BUSINESS INC|105469237L,"$8,242,640",,,,,,,,,,,,,
CASA CENTRAL SOCIAL SERVICES CORPORATION|12727336M,"$8,183,090",,,,,,,,,,,,,
"IGC, INC.|10308624","$8,119,624",,,,,,,,,,,,,
LAWNDALE CHRISTIAN LEGAL CENTER|94731274A,"$8,036,500",,,,,,,,,,,,,
IMMACULATE LAUNDRY OF ALBANY PARK LLC|105507531H,"$8,028,000",,,,,,,,,,,,,
T-MOBILE USA|105455848L,"$8,000,000",,,,,,,,,,,,,
KENTECH CONSULTING INC.|95291705M,"$8,000,000",,,,,,,,,,,,,
"ALLIANCE DEMOLITION SERVICES, INC.|95235410E","$8,000,000",,,,,,,,,,,,,
CHICAGO LIGHTHOUSE RESIDENCES #4 LLC|10603148,"$7,899,003",,,,,,,,,,,,,
SINAI HEALTH SYSTEM|41617145V,"$7,845,700",,,,,,,,,,,,,
KOBUS INC|105492392A,"$7,791,624",,,,,,,,,,,,,
COMMUNITY INITIATIVES INC|93602569V,"$7,790,000",,,,,,,,,,,,,
SEBIS DIRECT|94902780A,"$7,761,889",,,,,,,,,,,,,
"APTIM GOVERNMENT SOLUTIONS, LLC|105459648Z","$7,730,000",,,,,,,,,,,,,
"SINAI COMMUNITY INSTITUTE, INC.|31321008Z","$7,716,889",,,,,,,,,,,,,
NORTHWESTERN UNIVERSITY|27481184P,"$7,586,006",,,,,,,,,,,,,
ROBERT W HENDRICKSEN COMPANY|105499590M,"$7,534,080",,,,,,,,,,,,,
"K2 INTELLIGENCE, LLC|105461983A","$7,500,000",,,,,,,,,,,,,
"CITY ESCAPE GARDEN & DESIGN,LLC|93544355L","$7,495,012",,,,,,,,,,,,,
UNIVERSAL BOOT INC|105502578V,"$7,423,000",,,,,,,,,,,,,
"ALLIANCE REHAB, INC.|31326824M","$7,419,000",,,,,,,,,,,,,
KAMALTECH INCORPORATE|93963603V,"$7,388,779",,,,,,,,,,,,,
"WALSH CONSTRUCTION COMPANY II, LLC.|93884405E","$7,274,325",,,,,,,,,,,,,
"ENGLEWOOD CONNECT, LLC.|10620089","$7,000,000",,,,,,,,,,,,,
NORTHWEST SIDE HOUSING CENTER|97390956Z,"$6,979,303",,,,,,,,,,,,,
"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC|94387210X","$6,925,933",,,,,,,,,,,,,
RESURRECTION PROJECT|103368522L,"$6,862,091",,,,,,,,,,,,,
"GONZALEZ COMPANIES, LLC.|56429023","$6,858,622",,,,,,,,,,,,,
SIGMA ENGINEERING INC.|66966489Z,"$6,850,625",,,,,,,,,,,,,
"RADA ARCHITECTS, LIMITED|95235366T","$6,850,625",,,,,,,,,,,,,
MCKISSACK & MCKISSACK MIDWEST|62510906V,"$6,850,625",,,,,,,,,,,,,
"MACKIE CONSULTANTS, LLC|10623412","$6,850,625",,,,,,,,,,,,,
INFOR PUBLIC SECTOR INC|94598389A,"$6,831,602",,,,,,,,,,,,,
ENTERPRISE LEASING CO. OF CHICAGO|105461657P,"$6,812,410",,,,,,,,,,,,,
CSI 3000 CONSTRUCTION JV LLC|10585210,"$6,695,280",,,,,,,,,,,,,
ESPERANZA HEALTH CENTER|95064198H,"$6,582,388",,,,,,,,,,,,,
ARAMARK SAFE HAVEN FOUNDATION|54567829L,"$6,517,591",,,,,,,,,,,,,
CIRC ESTEEM INC|96113116H,"$6,471,353",,,,,,,,,,,,,
1201 N CALIFORNIA 4PCT HHDC LP|10604684,"$6,435,980",,,,,,,,,,,,,
CANUCK POWER INC|10605116,"$6,423,037",,,,,,,,,,,,,
WORLD BUSINESS CHICAGO|CLEANED-UP|93284863P,"$6,400,000",,,,,,,,,,,,,
CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH|102489050V,"$6,383,824",,,,,,,,,,,,,
"VERA CREATIVE, INC.|105467483V","$6,342,318",,,,,,,,,,,,,
"GARY COMER YOUTH CENTER, INC.|94781128E","$6,329,816",,,,,,,,,,,,,
FULL CIRCLE COMMUNITIES INC.|102690389H,"$6,200,000",,,,,,,,,,,,,
CITYBASE INC|102505344X,"$6,191,067",,,,,,,,,,,,,
"UNIVERSAL PROTECTION SERVICE, LLC DBA ALLIED UNIVERSAL SECURITY SERVICES|10562440","$6,140,019",,,,,,,,,,,,,
ERIE FAMILY HEALTH CENTER|CLEANED-UP|93336098P,"$6,135,882",,,,,,,,,,,,,
COOK COUNTY HLTH & HOSPITAL|105469803Z,"$6,104,903",,,,,,,,,,,,,
JOHNSON RESEARCH GROUP INC|105512401T,"$6,052,559",,,,,,,,,,,,,
"PREFORM TRAFFIC CONTROL SYSTEMS, LIMITED|22078600A","$6,000,270",,,,,,,,,,,,,
PARK BOULEVARD 3B LLC.|10597520,"$6,000,000",,,,,,,,,,,,,
CONCORDIA PLACE|93272974T,"$5,966,200",,,,,,,,,,,,,
START EARLY|105474661X,"$5,952,880",,,,,,,,,,,,,
LOOP LEARNING CENTER INC|102465041T,"$5,918,184",,,,,,,,,,,,,
RENAISSANCE PARTNERS LIMITED PARTNERSHIP|10623199,"$5,913,737",,,,,,,,,,,,,
DMJM AVIATION PARTNERS|93911414M,"$5,910,000",,,,,,,,,,,,,
CONTINENTAL TESTING SERVICES|CLEANED-UP|93332245M,"$5,900,000",,,,,,,,,,,,,
LINCOLN PARK COMMUNITY SERVICES|102495601V,"$5,877,256",,,,,,,,,,,,,
"LAKEVIEW LANDING, LP.|10623495","$5,810,000",,,,,,,,,,,,,
TOTAL FACILITY MAINTENANCE INC|22376305P,"$5,800,000",,,,,,,,,,,,,
