,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
51,995503: DIESEL EXHAUST FLUID,136731,5,995503,COMMODITIES,10/01/2020,03/30/2027,01/20/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,VALDES LLC,102457371X,667 CHADDICK DRIVE,,WHEELING,IL,60090,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80C3E69B-0000-CD16-8E0B-6264D36F13C3}
52,DESIGN CONSULTING SERVICES - TARGET MARKET,37879,5,132366,ARCH/ENGINEERING,07/01/2016,12/29/2026,01/16/2026,DEPARTMENT OF WATER MANAGEMENT,DELTA ENGINEERING GROUP LLC,93568965M,111 W JACKSON BLVD STE 910,,CHICAGO,IL,60604,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0C8E69B-0000-C51A-8C10-851C2801AB2D}
53,See PO #32968 on the DPS Web for contract content. Muller & Muller Ltd to Gannett Fleming Architects: MCA for Professional Architectural and Design Services,308369,2,127930,ARCH/ENGINEERING,05/01/2025,05/30/2027,01/16/2026,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"GANNETT FLEMING ARCHITECTS, INC.",105509498M,180 N STETSON AVNUE TWO PRUDENTIAL PLZ STE 3700,,CHICAGO,IL,60601,$0.00,CONTRACT ASSIGNMENT/TRANS,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8096DC9B-0000-CA19-B9FC-FFAC9C50E398}
54,DFSS-IDHS-HL-INTHS:,247894,7,1235949,DELEGATE AGENCY,11/01/2023,04/30/2026,01/15/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INNER VOICE INC.,6231926M,1621 W WALNUT ST FL 1ST,,CHICAGO,IL,60612,"$16,512.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={708AC39B-0000-C615-ADAA-9570338B74ED}
55,"CONTRACT ASSIGNMENT; FORMER PO #30811 - TECHNICAL SUPPORT AND MAINTENANCE OF THE INTEGRATED SAFETY, SECURITY AND OPERATIONS COMMAND AND CONTROL SYSTEMS (ISSOCCS) AT O'HARE AND MIDWAY INTERNATIONAL AIRPORTS (SPEC #113339)",46733,9,113339,PRO SERV-AVIATION,08/01/2016,06/29/2027,01/14/2026,CHICAGO DEPARTMENT OF AVIATION,SDI PRESENCE LLC,105460379T,200 E RANDOLPH ST,,CHICAGO,IL,60601,"$30,000,000.00",CONTRACT ASSIGNMENT/TRANS,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3081BD9B-0000-C018-A30A-13AEC61C7903}
56,DFSS-CORP-HL-ESH:,322607,2,1235949,DELEGATE AGENCY,08/01/2025,04/30/2026,01/14/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ARAMARK SAFE HAVEN FOUNDATION,54567829L,2750 W ROOSEVELT RD FL 1ST,,CHICAGO,IL,60608,"$344,250.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40B1BE9B-0000-C31E-9803-76876D21AC17}
57,994831: SAFETY AND TECHNICAL RESCUE EQUIPMENT,131988,3,994831,COMMODITIES,07/24/2020,07/23/2027,01/14/2026,CHICAGO FIRE DEPARTMENT,AIR ONE EQUIPMENT INC,31316936Z,360 PRODUCTION DRIVE EFT,,SOUTH ELGIN,IL,60177-2637,"$8,049,702.70",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8032C29B-0000-CC1D-94DD-8FEE5804380F}
58,"AIR COMPRESSOR, NEW, REPAIR AND MAINTENANCE",57097,7,182531,WORK SERVICES / FACILITIES MAINT.,05/22/2017,05/21/2026,01/14/2026,CHICAGO FIRE DEPARTMENT,AIR ONE EQUIPMENT INC,31316936Z,360 PRODUCTION DRIVE EFT,,SOUTH ELGIN,IL,60177-2637,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80B1FB9B-0000-C21B-91DC-1ADE9F5BC104}
59,PROPERTY MANAGEMENT SERVICES FOR TERMINAL 5 AT O'HARE INTERNATIONAL AIRPORT,27075,15,95248,PRO SERV-AVIATION,06/01/2012,12/31/2026,01/14/2026,CHICAGO DEPARTMENT OF AVIATION,SKYLINE MANAGEMENT GROUP O'HARE,94637052P,10000 W OHARE AIRPORT,,CHICAGO,IL,60666,"$37,000,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B082BD9B-0000-C71C-8A12-86823650DECE}
60,DFSS-ECBG-CS-CEL:,114019,8,1070196,DELEGATE AGENCY,12/01/2019,06/30/2026,01/13/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,REACH FOR THE STARS CHILDCARE ACADEMY INC,105466948V,PO BOX 51278,,CHICAGO,IL,60651,"$277,030.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E060009C-0000-CE1F-A3C9-B2EEA5E3500E}
61,INFORMATION TECHNOLOGY INFRASTRUCTURE SERVICES FOR CITY OF CHICAGO,93627,3,416117,"PRO SERV CONSULTING $250,000orABOVE",10/23/2019,10/22/2027,01/13/2026,DEPARTMENT OF TECHNOLOGY AND INNOVATION,SDI PRESENCE LLC,105460379T,200 E RANDOLPH ST,,CHICAGO,IL,60601,"$55,000,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={308E0A9C-0000-CA1F-A566-E2880D28A35E}
62,1258382: Liquid Cationic Polyelectrolyte,232326,1,1258382,COMMODITIES,07/07/2023,07/06/2028,01/13/2026,DEPARTMENT OF WATER MANAGEMENT,"POLYDYNE, INC",94127559H,PO BOX 351420,,TOLEDO,OH,43635-1420,"$981,000.50",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={607FBD9B-0000-CB1B-9181-5463CFAF0B9A}
63,"700819: INDUSTRIAL EQUIPMENT, TOOLS, ATTACHMENTS, VARIOUS FASTENERS, SUPPLIES AND ACCESSORIES (GROUPS - B, C, D, E, F, H, I, J, K, M, N, P, Q, T, U, V, W, X, Y, Z, AA, BB, DD, FF, GG, HH, II, JJ and KK)",102620,4,700819,COMMODITIES-AVIATION,06/17/2019,06/16/2027,01/12/2026,CHICAGO DEPARTMENT OF AVIATION,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,3620558A,10307-10325 S MICHIGAN AVE,,CHICAGO,IL,60628,"$3,000,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D06EB49B-0000-C41D-BFCD-398A48D0511C}
64,1289435: Chicago Avenue River Bridge and Chicago Avenue/Halsted Street Viaduct,310789,5,1289435,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/12/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$50,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4008B89B-0000-CC10-88EE-65B64548AAEC}
65,DFSS-CORP-SS-SSC:,212527,4,1261894,DELEGATE AGENCY,01/01/2023,03/31/2026,01/12/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF CHICAGO,102484615A,1 E BANKS ST,,CHICAGO,IL,60670,"$150,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60D8C29B-0000-C219-8058-9B15B933A929}
66,DFSS-CORP-HL-ESH:,322604,2,1235949,DELEGATE AGENCY,08/01/2025,04/30/2026,01/12/2026,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,25964717T,4800 N MARINE DR,STE 6,CHICAGO,IL,60630-2740,"$311,520.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F04D259C-0000-CE17-B866-459CC47956DE}
67,"DLT Quote 5331544 for software services; application clusters, advanced security.",333505,0,450998,SOFTWARE,,,01/09/2026,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER:  #4451063799,PO BOX 743359,ATLANTA,GA,30374-3359,"$663,877.80",JOINT PURCHASE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={001EA49B-0000-C916-AA49-CB3BBA721FB9}
68,1190383: West Woodlawn Sewer Improvement Project,163657,4,1190383,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/09/2026,DEPARTMENT OF WATER MANAGEMENT,PAN-OCEANIC ENGINEERING CO INC,95584874P,6436 W HIGGINS AVENUE EFT,,CHICAGO,IL,60656,"$68,512.80",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80982F9C-0000-C914-A077-61C6161307CF}
69,"SOLID SURFACE MATERIALS, ACCESSORIES AND RELATED SUPPLIES",76897,4,481027,COMMODITIES-AVIATION,08/15/2018,06/30/2026,01/09/2026,CHICAGO DEPARTMENT OF AVIATION,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,3620558A,10307-10325 S MICHIGAN AVE,,CHICAGO,IL,60628,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90C2A49B-0000-CF13-9B1D-FBF4718BFEE0}
70,1218947: Jardine Water Purification Plant (JWPP) and Sawyer Water Purification Plant (SWPP) Phosphate System Modifications,201404,2,1218947,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/09/2026,DEPARTMENT OF WATER MANAGEMENT,JOSEPH J. HENDERSON & SON INC.,105509800H,4288 OLD GRAND AVE,,GURNEE,IL,60031,"$160,614.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={006DA39B-0000-CF1D-A76F-406883F1CED0}
71,1301245: CDOT 2025 Job Order Contract for Flatwork (Primary Award),333917,0,1301245,CONSTRUCTION-LARGE $3MILLIONorABOVE,01/07/2026,01/06/2029,01/09/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN S.N. NIELSEN & ASSOCIATES, LLC",94387210X,5515 N EAST RIVER ROAD EFT,,CHICAGO,IL,60656,"$30,000,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20B8A39B-0000-CB19-B265-A693B74F1AE3}
72,SOUND EQUIPMENT RENTAL AND SERVICES FOR CITY FESTIVALS,144948,1,131188B,WORK SERVICES / FACILITIES MAINT.,08/01/2021,07/31/2027,01/09/2026,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,TECHNOTRIX INC,97940711V,1175 CENTRAL AVE BLDG 4,,UNIVERSITY PARK,IL,60484,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10E1B39B-0000-CD15-9898-0D60FA508C8E}
73,DLT Quote# 5343835 for Time and Materials Services.,334992,0,450998,SOFTWARE,,,01/09/2026,DEPARTMENT OF TECHNOLOGY AND INNOVATION,DLT SOLUTIONS LLC,102509442P,ACCOUNT NUMBER:  #4451063799,PO BOX 743359,ATLANTA,GA,30374-3359,"$148,165.40",JOINT PURCHASE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={801EA49B-0000-C912-A085-72B57E16E967}
74,Spec 1259280: General Chemical & Biological Lab Supplies (NSG),243907,1,1259280,COMMODITIES,12/04/2023,12/04/2027,01/09/2026,DEPARTMENT OF WATER MANAGEMENT,THOMAS SCIENTIFIC,71641540X,PO BOX 99,,SWEDESBORO,NJ,,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={3027BD9B-0000-C01C-B195-A40EA94C201E}
75,"853828: Water Pipes, Brass & Copper Replacement and Repair Parts",132457,6,853828,COMMODITIES,08/05/2020,08/04/2026,01/07/2026,DEPARTMENT OF WATER MANAGEMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",105468708E,505 N LAKE SHORE DR,,CHICAGO,IL,60611,"$8,522,693.10",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40DB999B-0000-CD1F-BB1F-0DE14C8B6533}
76,1289435: Chicago Avenue River Bridge and Chicago Avenue/Halsted Street Viaduct,310789,4,1289435,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,01/05/2026,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"-$10,300.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0E9939B-0000-C316-9BA4-E3126C1AA2A8}
77,TARGET MARKET PROFESSIONAL SEWER CONSTRUCTION MANAGEMENT ENGINEERING SERVICES,71235,6,140842,ARCH/ENGINEERING,07/06/2018,01/01/2027,01/05/2026,DEPARTMENT OF WATER MANAGEMENT,"D'ESCOTO, INC.",105477773Z,1200 N ASHLAND AVE STE 600,,CHICAGO,IL,60622,"$5,750,000.00",MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0D8939B-0000-CB12-907B-DC4C11763D14}
78,Legislative Consulting Services,331077,0,1256622,"PRO SERV CONSULTING UNDER $250,000",12/30/2025,12/29/2026,01/02/2026,OFFICE OF THE MAYOR,BLAIDA & ASSOCIATES LLC,95554800M,30 N LA SALLE ST,,CHICAGO,IL,60609,"$97,999.90",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B010809B-0000-C618-83F8-D8B2708F0103}
79,SUSTAINABILITY CONSULTING SERVICES FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS (SPEC #112274),29663,9,112274,PRO SERV-AVIATION,06/29/2014,12/31/2026,01/02/2026,CHICAGO DEPARTMENT OF AVIATION,"APTIM GOVERNMENT SOLUTIONS, LLC",105459648Z,212 W SUPERIOR ST STE 200,,CHICAGO,IL,60654,"$1,300,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0D7939B-0000-C012-B474-1EAE001179BA}
80,"Large and Small Clay Sewer Pipe and Fittings (E
-Procurement",95699,8,665792,COMMODITIES,04/01/2019,03/31/2027,01/02/2026,DEPARTMENT OF WATER MANAGEMENT,"HENRY FRERK SONS, INC.",3821736H,3135 W BELMONT AVE # 1,,CHICAGO,IL,60618,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0478F9B-0000-CB15-99DD-D77C9196B5EF}
81,1258158: Drains in City Right of Way Repair Program - PN7504B North Area (SBI),283911,1,1258158,CONSTRUCTION-LARGE $3MILLIONorABOVE,01/29/2025,09/07/2026,01/02/2026,DEPARTMENT OF WATER MANAGEMENT,MILLENNIUM CONTRACTING CORPORATION,105466013V,5933 N KNOX AVE,,CHICAGO,IL,60646-5817,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30D6939B-0000-CA10-BC2F-3D380B97FC6E}
82,Legislative Consulting Services,331048,0,1324136,"PRO SERV CONSULTING UNDER $250,000",12/30/2025,12/29/2026,01/02/2026,OFFICE OF THE MAYOR,VINCENT R. WILLIAMS & ASSOCIATES P.C.,105519576A,331 E CALENDAR AVE,,LA GRANGE,IL,60525,"$72,000.00",SOLE SOURCE,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={100E809B-0000-C91B-B761-C4EF13AED80F}
83,SPEC: 1265144A Liquid Chlorine (Rebid),323111,0,1265144A,COMMODITIES,12/16/2025,12/18/2028,01/02/2026,DEPARTMENT OF WATER MANAGEMENT,ALEXANDER CHEMICAL CORP,93297372Z,16932 COLLECTIONS CENTER DRIVE EFT,,CHICAGO,IL,60693,"$34,154,750.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90879A9B-0000-CE1C-8865-C8916286ECA2}
84,PAVEMENT SAWING OF EXISTING PAVEMENT COLD MILLING AND GRINDING,58817,10,134814,WORK SERVICES / FACILITIES MAINT.,08/29/2017,02/25/2027,01/02/2026,DEPARTMENT OF WATER MANAGEMENT,"MAT CONSTRUCTION LEASING, INC.",61324337H,4450 S MORGAN ST # 1,,CHICAGO,IL,60609,"$830,400.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={6099A39B-0000-C617-8170-94A39A697F74}
85,CDPH-RW-PA: PO 294326 COOK COUNTY HEALTH,329401,0,1314763,DELEGATE AGENCY,03/01/2025,02/28/2026,12/30/2025,,COOK COUNTY HLTH & HOSPITAL,105469803Z,PO BOX 70121,,CHICAGO,IL,60673-0121,"$1,000,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0B1A39B-0000-C91E-8304-36DB19137549}
86,CDPH-RW-PA: PCHH-HRSA PO 329390 ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO,329390,0,1187478,DELEGATE AGENCY,09/01/2019,02/28/2026,12/29/2025,CHICAGO DEPARTMENT OF PUBLIC HEALTH,ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO,105476617X,225 E CHICAGO AVE,,CHICAGO,IL,60611-2605,"$180,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0A7E79B-0000-C31D-848A-8EC98A4E7B93}
87,RENTAL OF MOBILE OFFICE TRAILERS,106311,4,576671,WORK SERVICES / FACILITIES MAINT.,08/15/2019,08/14/2026,12/24/2025,DEPARTMENT OF STREETS AND SANITATION,"MOBILE FACILITIES OF ILL, INC.",53650493A,3230 E LINCOLN HWY,,CHICAGO HEIGHTS,IL,60411,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0D8519B-0000-CB18-86FC-B52DDB6C9B2F}
88,1183148: SEWER MAIN LINING PROGRAM - FAR NORTH AREA (Project#7511A),132516,5,1183148,CONSTRUCTION-LARGE $3MILLIONorABOVE,08/10/2020,05/31/2026,12/24/2025,DEPARTMENT OF WATER MANAGEMENT,INLINER SOLUTIONS LLC,105509811P,5031 W 66TH ST,,BEDFORD PARK,IL,60638,"$2,438,651.30",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2079519B-0000-C21E-A1A1-8BE4AF3A8CAC}
89,NON-TARGET MARKET PLANNING NOW SERVICES- CATEGORY 3: PREPARE FOR AND MANAGE DEVELOPMENT PROJECTS; CATEGORY 7: SUPPORT TAX INCREMENT FINANCING (TIF) DISTRICTS,52771,6,131663,"PRO SERV CONSULTING $250,000orABOVE",02/09/2018,12/31/2027,12/24/2025,DEPARTMENT OF PLANNING AND DEVELOPMENT,"ERNEST R. SAWYER ENTERPRISES., INC",44411008P,100 N LA SALLE ST # 1515,,CHICAGO,IL,60602,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={20946A9B-0000-C215-A962-0B05A790E776}
90,1183155: SEWER MAIN LINING PROGRAM - SOUTH AREA (Project#7511D),132635,6,1183155,CONSTRUCTION-LARGE $3MILLIONorABOVE,08/10/2020,05/31/2026,12/23/2025,DEPARTMENT OF WATER MANAGEMENT,INLINER SOLUTIONS LLC,105509811P,5031 W 66TH ST,,BEDFORD PARK,IL,60638,"$9,835,692.90",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0AF4C9B-0000-C510-B1D9-20DC2D60CFB5}
91,1183154: SEWER MAIN LINING PROGRAM - CENTRAL AREA (Project#7511C),132634,5,1183154,CONSTRUCTION-LARGE $3MILLIONorABOVE,08/10/2020,05/31/2026,12/23/2025,DEPARTMENT OF WATER MANAGEMENT,INLINER SOLUTIONS LLC,105509811P,5031 W 66TH ST,,BEDFORD PARK,IL,60638,"$100,446.50",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60AC4C9B-0000-C519-A9A6-3DAD17B761EA}
92,"1107750: REPLACEMENT PARTS FOR MUELLER, SENSUS & BADGER WATER METER",127597,3,1107750,COMMODITIES,06/01/2020,05/31/2027,12/23/2025,DEPARTMENT OF WATER MANAGEMENT,"CHICAGO UNITED INDUSTRIES, LIMITED",105468708E,505 N LAKE SHORE DR,,CHICAGO,IL,60611,"$32,500.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={00F6519B-0000-C31C-AF2D-F7CBA629239A}
93,1183152: SEWER MAIN LINING PROGRAM - NORTH AREA (Project#7511B),132592,5,1183152,CONSTRUCTION-LARGE $3MILLIONorABOVE,08/10/2020,05/31/2026,12/23/2025,DEPARTMENT OF WATER MANAGEMENT,INLINER SOLUTIONS LLC,105509811P,5031 W 66TH ST,,BEDFORD PARK,IL,60638,"$1,711,804.60",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90AB4C9B-0000-CF18-BAA6-703D65393E34}
94,1258157: Drains in City Right of Way Repair Program - PN7504A Far North Area (SBI),286996,1,1258157,CONSTRUCTION-LARGE $3MILLIONorABOVE,01/29/2025,09/07/2026,12/23/2025,DEPARTMENT OF WATER MANAGEMENT,MILLENNIUM CONTRACTING CORPORATION,105466013V,5933 N KNOX AVE,,CHICAGO,IL,60646-5817,$0.00,BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={C0D4939B-0000-C11A-9C41-386EA9C0508B}
95,POTASSIUM ACETATE LIQUID RUNWAY DEICER FOR O'HARE AND MIDWAY INTERNATIONAL AIRPORTS,86020,11,645940,COMMODITIES-AVIATION,10/29/2018,06/28/2026,12/22/2025,CHICAGO DEPARTMENT OF AVIATION,CRYOTECH DEICING TECHNOLOGY,31295465M,6103 ORTHOWAY,,FORT MADISON,IA,52627,"$24,500,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30344C9B-0000-C81C-BD3C-076331A59C5A}
96,DFSS-IDHS-HL-EFSP:,316167,1,1294232,DELEGATE AGENCY,07/01/2025,04/30/2026,12/22/2025,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,K.L.E.O. COMMUNITY FAMILY LIFE CENTER|CLEANED-UP,93487754Z,119 E GARFIELD BOULEVARD EFT,,CHICAGO,IL,60637,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B095249C-0000-CF13-9910-9F5E75811DF0}
97,ELECTRONIC LOGGING SYSTEM FOR MIDWAY INTERNATIONAL AIRPORT,28075,11,104075,PRO SERV-AVIATION,07/31/2013,12/31/2026,12/22/2025,CHICAGO DEPARTMENT OF AVIATION,"LANDRUM & BROWN, INC",21983368A,8755 W HIGGINS RD STE 850,,CHICAGO,IL,60631,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B013809B-0000-C01C-83BC-4D264B806BEB}
98,"Management of Parking and Ground Transportation Facilities Midway Int'l Airport, Spec# 87223",26600,11,87223,PRO SERV-AVIATION,07/01/2012,06/30/2026,12/22/2025,CHICAGO DEPARTMENT OF AVIATION,STANDARD PARKING-MIDWAY JV,31929767E,PO BOX 388079,,CHICAGO,IL,60638,"$3,250,000.00",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E00C6C9B-0000-CC1A-B3F7-D13FDB141ACE}
99,1289435: Chicago Avenue River Bridge and Chicago Avenue/Halsted Street Viaduct,310789,3,1289435,CONSTRUCTION-LARGE $3MILLIONorABOVE,,,12/22/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",102903767L,5515 N EAST RIVER ROAD EFT XX  2356,,CHICAGO,IL,60656,"$50,000.00",BID,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={D0B0949B-0000-CA13-9A4A-DCF853954FB3}
100,Airfield Training Consulting Services for O'Hare and Midway International Airports,324323,0,1258192,PRO SERV-AVIATION,12/10/2025,12/09/2030,12/19/2025,CHICAGO DEPARTMENT OF AVIATION,ASSET LLC,92421301A,4939 N HAMLIN AVE,,CHICAGO,IL,60625,"$11,854,857.70",RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F074389B-0000-C619-8EF7-BB9DEE6626E9}
101,"ASSIGNMENT OF CONTRACT FROM USR CORPORATION PO #28634 TO AECOM TECHINICAL SERVICES PO#44375 PHASE II  PROFESSIONAL DESIGN ENGINEERING SERVICES PROJECT 4 - RECONSTRUCTION OF THE CHICAGO AVENUE RIVER BRIDGE & CHICAGO AVE.,  HALSTED ST VIADUCT",44375,6,70270,ARCH/ENGINEERING,09/09/2016,03/25/2027,12/19/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"AECOM TECHNICAL SERVICES, INC.",94920393E,1178 PAYSPHERE CIR,,CHICAGO,IL,60674,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={605F389B-0000-C615-84E5-42D8214BCD21}
102,MASTER TASK ORDER CONTRACT TASK ORDER SERVICES DESIGN ENGINEERING FOR COMPLETE STREETS PROJECT GROUPS 1-5: PROJECT GROUP 4 AWARDED,32272,5,114941,ARCH/ENGINEERING,12/18/2015,03/02/2026,12/19/2025,CHICAGO DEPARTMENT OF TRANSPORTATION,"UPLAND DESIGN, LIMITED",95617703M,803 N BARTLETT AVE,,PLAINFIELD,IL,60544,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2000489B-0000-C01B-B044-604C5A8CAB9B}
103,PROFESSIONAL ARCHITECTURAL AND ENGINEERING DESIGN SERVICES,32977,6,127930,ARCH/ENGINEERING,12/17/2015,05/30/2027,12/19/2025,DEPARTMENT OF FLEET AND FACILITY MANAGEMENT,"TILTON, KELLY & BELL, LLC",75695715E,303 W MADISON ST STE 1140,,CHICAGO,IL,60606-1284,$0.00,MASTER AGREEMENT,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={2076389B-0000-C317-A854-80087F30E906}
